tissue	E2F7	ELF4	ELK4	EMX2	ESR1	GATA2	GATA6	GLIS3	HIC2	HNF4G	HOXA13	HOXC10	HOXC6	IKZF1	IRF1	MAFF	MEOX2	MNX1	MYT1L	NR2F2	PTTG1	RUNX1	SALL1	SHOX2	SNAI2	SOX10	STAT1	TCF21	TP63	TWIST1
Pluripotentstemcell	-0.207715181	-0.326489353	-0.477012913	0.02961319	-0.145451238	-0.269507596	-0.327228454	-0.250945754	0.092832224	-0.131300093	-0.162618616	-0.177067771	-0.191964108	-0.019250113	-0.121065203	-0.340048207	-0.151209003	-0.260302799	0.834427745	-0.335616399	-0.216424507	-0.239447324	0.057658525	-0.17166198	-0.230960555	0.131220694	-0.194111627	-0.235878487	-0.148802904	-0.150327602
Pluripotentstemcell	-0.026889494	-0.016745633	0.234237904	-0.169694926	-0.102681622	0.073197333	-0.111436488	-0.164450372	0.082500184	0.177151872	0.051896496	-0.035199959	-0.121392463	-0.148569623	-0.106306502	-0.004757873	-0.211992369	0.092300771	-0.104970422	-0.312226033	0.140338393	0.226862209	-0.01503304	-0.190820412	0.072154211	-0.006291192	-0.171390929	-0.081529367	0.759924507	-0.008017303
Salivarygland	-0.028705263	0.643955143	0.123922549	-0.113299011	-0.048563558	0.040088579	0.030215731	-0.123199791	0.020042782	0.21949652	-0.042875405	-0.119690287	-0.111040878	0.919039289	0.90514933	-0.068386916	-0.075966652	0.02404454	-0.200949599	0.013457918	0.037132282	0.235985759	-0.180989353	-0.100254723	-0.049852169	-0.138548256	-0.000495265	0.308926789	-0.042760973	-0.120615995
Salivarygland	0.013946236	0.121554526	0.322030648	-0.097817324	0.038816701	0.073937625	-0.137322595	-0.183706147	-0.12988205	0.032991592	0.109776522	0.115136741	0.026936389	-0.066410377	-0.02480661	0.176134314	-0.07983252	-0.062859213	-0.224124612	-0.145220174	0.053632038	0.162548392	-0.046487343	-0.087655483	0.230524667	-0.112132309	-0.067388273	0.00100341	0.904958182	0.093569747
Salivarygland	-0.199438457	0.481847107	0.251259192	0.076975604	0.181289744	0.225872189	-0.028049299	-0.03646896	-0.234632405	-0.173915656	0.127842922	0.305973675	0.25422308	0.438079227	0.534250711	0.454794668	0.380971208	-0.247681134	-0.332102896	0.267634576	-0.185912104	0.310316733	-0.224847248	0.262903361	0.207671945	-0.032797157	-0.12550635	0.072674518	0.236688512	0.150927605
Salivarygland	0.463168073	0.295994602	0.660144808	0.294053455	0.505585117	0.363571178	0.083671893	0.408854905	0.330960641	-0.108393984	0.432788091	-0.039091259	0.255720903	-0.05413301	-0.030131828	0.358256816	0.242112799	0.037534392	-0.163755753	0.55480551	0.419425992	0.166056671	0.176893513	0.340556469	0.369105625	0.039024207	0.442297942	0.126727397	0.054297718	0.216395068
Salivarygland	-0.145867444	0.219743274	0.252786158	0.033906148	0.058620619	0.203819406	0.161549665	0.178060822	0.051205649	-0.073246927	-0.016101707	0.02804512	0.30398764	-0.012498921	0.090077154	0.660220257	0.639674743	-0.173482473	-0.218343479	0.399882727	-0.122952553	0.299691419	-0.16011182	0.393921892	0.089429515	0.005439398	-0.099288212	0.243532649	-0.074085179	0.257581483
Thymus	0.63336967	0.269587195	0.351171374	0.166501174	0.331939844	0.049424623	-0.156915066	0.053925382	0.101789476	-0.07263353	0.330420596	-0.19186443	-0.189710576	0.260776095	0.175361184	-0.143893872	-0.149978415	0.142181088	0.200061913	0.069115944	0.379758955	-0.073175622	0.174483918	-0.027974009	-0.03246031	-0.045092952	0.622939928	0.047416949	-0.08446497	-0.180963309
Thymus	-0.059610026	0.205330173	0.114536091	-0.164982503	-0.117354128	0.026802606	0.103078971	0.04271797	-0.030681676	0.756075379	0.069973551	-0.12056286	-0.119671815	0.0253283	0.175629065	-0.081950354	-0.109293298	0.526051559	-0.218298265	-0.095414907	-0.064574156	0.140988978	-0.055566036	-0.166052143	-0.078325905	-0.145681633	-0.067461897	0.169588737	-0.085612661	-0.115357554
Thymus	-0.028705263	0.643955143	0.123922549	-0.113299011	-0.048563558	0.040088579	0.030215731	-0.123199791	0.020042782	0.21949652	-0.042875405	-0.119690287	-0.111040878	0.919039289	0.90514933	-0.068386916	-0.075966652	0.02404454	-0.200949599	0.013457918	0.037132282	0.235985759	-0.180989353	-0.100254723	-0.049852169	-0.138548256	-0.000495265	0.308926789	-0.042760973	-0.120615995
